,MUN,ID,TIPO,PATFOR,TERR FOR,PATRICOVA,NIV PELIGR,PATIVEL,TIP PROTEC,TIPO PLAN,APROB,LEGIS,FUENTE,PMD,DENOM,CAT CLASE,CAT PROTEC,CAT CATEG,CLASIF,ZONIF,ZONIF DESC,DOT,DOT DESC,USO SUELO,AFECCION,PRR,PRR DENOM,PPRO,PPRO DENOM,PNM,PNM DENOM,PQN,PQN DENOM,ZHUM,ZHUM DENOM,ZEPA,ZEPA DENOM,ZEC,ZEC DENOM,LIC,LIC DENOM,RIESGO,CT,CT TIPO,VP,VP TIPO,DIC USO,DIC DESCRI,NORM URB
0,Benferri,03025A00600354,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad Geomorfológica: Vaguadas y barrancos de fondo plano,No aplica,No aplica,Homologación de Normas Subsidiarias,1999-02-15,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03025%20BENFERRI/1%20P.%20GENERAL/03025-1000%20HOMONNSS%201997-1091/,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03025%20BENFERRI/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03025%20BENFERRI/1%20P.%20GENERAL/03025-1000%20HOMONNSS%201997-1091/3%20NORMAS%20URBAN%cdSTICAS/03025-1000%201997-1091%20NORMAS%20URBANISTICAS.pdf
1,Benferri,03025A00500191,Rústica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Homologación de Normas Subsidiarias,1999-02-15,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03025%20BENFERRI/1%20P.%20GENERAL/03025-1000%20HOMONNSS%201997-1091/,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03025%20BENFERRI/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03025%20BENFERRI/1%20P.%20GENERAL/03025-1000%20HOMONNSS%201997-1091/3%20NORMAS%20URBAN%cdSTICAS/03025-1000%201997-1091%20NORMAS%20URBANISTICAS.pdf
2,Benferri,03025A00500191,Rústica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Homologación de Normas Subsidiarias,1999-02-15,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03025%20BENFERRI/1%20P.%20GENERAL/03025-1000%20HOMONNSS%201997-1091/,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03025%20BENFERRI/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Protegido,ZRP-NA-MU,"Zona rural protegida municipal (forestal, paisajística, medioambiental)",No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03025%20BENFERRI/1%20P.%20GENERAL/03025-1000%20HOMONNSS%201997-1091/3%20NORMAS%20URBAN%cdSTICAS/03025-1000%201997-1091%20NORMAS%20URBANISTICAS.pdf
3,Benferri,03025A00500191,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad Geomorfológica: Vaguadas y barrancos de fondo plano,No aplica,No aplica,Homologación de Normas Subsidiarias,1999-02-15,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03025%20BENFERRI/1%20P.%20GENERAL/03025-1000%20HOMONNSS%201997-1091/,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03025%20BENFERRI/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03025%20BENFERRI/1%20P.%20GENERAL/03025-1000%20HOMONNSS%201997-1091/3%20NORMAS%20URBAN%cdSTICAS/03025-1000%201997-1091%20NORMAS%20URBANISTICAS.pdf
4,Benferri,03025A00400091,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad Geomorfológica: Vaguadas y barrancos de fondo plano,No aplica,No aplica,Homologación de Normas Subsidiarias,1999-02-15,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03025%20BENFERRI/1%20P.%20GENERAL/03025-1000%20HOMONNSS%201997-1091/,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03025%20BENFERRI/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo Urbano,ZUR-RE,Zona urbanizada residencial,No aplica,No aplica,Residencial,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03025%20BENFERRI/1%20P.%20GENERAL/03025-1000%20HOMONNSS%201997-1091/3%20NORMAS%20URBAN%cdSTICAS/03025-1000%201997-1091%20NORMAS%20URBANISTICAS.pdf
5,Benferri,03025A00400091,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad Geomorfológica: Vaguadas y barrancos de fondo plano,No aplica,No aplica,Homologación de Normas Subsidiarias,1999-02-15,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03025%20BENFERRI/1%20P.%20GENERAL/03025-1000%20HOMONNSS%201997-1091/,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03025%20BENFERRI/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Protegido,ZRP-CR,Zona rural protegida carreteras (dominio público),No aplica,No aplica,"Uso no residencial, no industrial, no terciario",AF-CR Carreteras,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03025%20BENFERRI/1%20P.%20GENERAL/03025-1000%20HOMONNSS%201997-1091/3%20NORMAS%20URBAN%cdSTICAS/03025-1000%201997-1091%20NORMAS%20URBANISTICAS.pdf
6,Benferri,03025A00400092,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad Geomorfológica: Vaguadas y barrancos de fondo plano,No aplica,No aplica,Homologación de Normas Subsidiarias,1999-02-15,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03025%20BENFERRI/1%20P.%20GENERAL/03025-1000%20HOMONNSS%201997-1091/,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03025%20BENFERRI/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo Urbano,ZUR-RE,Zona urbanizada residencial,No aplica,No aplica,Residencial,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03025%20BENFERRI/1%20P.%20GENERAL/03025-1000%20HOMONNSS%201997-1091/3%20NORMAS%20URBAN%cdSTICAS/03025-1000%201997-1091%20NORMAS%20URBANISTICAS.pdf
7,Benferri,03025A00400092,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad Geomorfológica: Vaguadas y barrancos de fondo plano,No aplica,No aplica,Homologación de Normas Subsidiarias,1999-02-15,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03025%20BENFERRI/1%20P.%20GENERAL/03025-1000%20HOMONNSS%201997-1091/,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03025%20BENFERRI/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Protegido,ZRP-CR,Zona rural protegida carreteras (dominio público),No aplica,No aplica,"Uso no residencial, no industrial, no terciario",AF-CR Carreteras,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03025%20BENFERRI/1%20P.%20GENERAL/03025-1000%20HOMONNSS%201997-1091/3%20NORMAS%20URBAN%cdSTICAS/03025-1000%201997-1091%20NORMAS%20URBANISTICAS.pdf
8,Benferri,03025A00400093,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad Geomorfológica: Vaguadas y barrancos de fondo plano,No aplica,No aplica,Homologación de Normas Subsidiarias,1999-02-15,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03025%20BENFERRI/1%20P.%20GENERAL/03025-1000%20HOMONNSS%201997-1091/,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03025%20BENFERRI/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo Urbano,ZUR-RE,Zona urbanizada residencial,No aplica,No aplica,Residencial,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03025%20BENFERRI/1%20P.%20GENERAL/03025-1000%20HOMONNSS%201997-1091/3%20NORMAS%20URBAN%cdSTICAS/03025-1000%201997-1091%20NORMAS%20URBANISTICAS.pdf
9,Benferri,03025A00400093,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad Geomorfológica: Vaguadas y barrancos de fondo plano,No aplica,No aplica,Homologación de Normas Subsidiarias,1999-02-15,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03025%20BENFERRI/1%20P.%20GENERAL/03025-1000%20HOMONNSS%201997-1091/,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03025%20BENFERRI/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Protegido,ZRP-CR,Zona rural protegida carreteras (dominio público),No aplica,No aplica,"Uso no residencial, no industrial, no terciario",AF-CR Carreteras,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03025%20BENFERRI/1%20P.%20GENERAL/03025-1000%20HOMONNSS%201997-1091/3%20NORMAS%20URBAN%cdSTICAS/03025-1000%201997-1091%20NORMAS%20URBANISTICAS.pdf
