,MUN,ID,TIPO,PATFOR,TERR FOR,PATRICOVA,NIV PELIGR,PATIVEL,TIP PROTEC,TIPO PLAN,APROB,LEGIS,FUENTE,PMD,DENOM,CAT CLASE,CAT PROTEC,CAT CATEG,CLASIF,ZONIF,ZONIF DESC,DOT,DOT DESC,USO SUELO,AFECCION,PRR,PRR DENOM,PPRO,PPRO DENOM,PNM,PNM DENOM,PQN,PQN DENOM,ZHUM,ZHUM DENOM,ZEPA,ZEPA DENOM,ZEC,ZEC DENOM,LIC,LIC DENOM,RIESGO,CT,CT TIPO,VP,VP TIPO,DIC USO,DIC DESCRI,NORM URB
0,Benijófar,03034A00400200,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad Geomorfológica: Vaguadas y barrancos de fondo plano,No aplica,No aplica,Plan General,2005-03-09,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03034%20BENIJ%d3FAR/P.%20GENERAL/03034-1000%20PLAN%20GENERAL%202003%201201/,No aplica,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Protegido,ZRP-AG,Zona rural protegida agrícola,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03034%20BENIJ%d3FAR/P.%20GENERAL/03034-1000%20PLAN%20GENERAL%202003%201201/3%20NORMAS%20URBANISTICAS/03034%201000%202003%201201%20%20NORMAS.pdf
1,Benijófar,03034A00400149,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad Geomorfológica: Vaguadas y barrancos de fondo plano,No aplica,No aplica,Plan General,2005-03-09,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03034%20BENIJ%d3FAR/P.%20GENERAL/03034-1000%20PLAN%20GENERAL%202003%201201/,No aplica,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Protegido,ZRP-AG,Zona rural protegida agrícola,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03034%20BENIJ%d3FAR/P.%20GENERAL/03034-1000%20PLAN%20GENERAL%202003%201201/3%20NORMAS%20URBANISTICAS/03034%201000%202003%201201%20%20NORMAS.pdf
2,Benijófar,03034A00400149,Rústica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Plan General,2005-03-09,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03034%20BENIJ%d3FAR/P.%20GENERAL/03034-1000%20PLAN%20GENERAL%202003%201201/,No aplica,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Protegido,ZRP-AG,Zona rural protegida agrícola,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03034%20BENIJ%d3FAR/P.%20GENERAL/03034-1000%20PLAN%20GENERAL%202003%201201/3%20NORMAS%20URBANISTICAS/03034%201000%202003%201201%20%20NORMAS.pdf
3,Benijófar,03034A00400113,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad Geomorfológica: Vaguadas y barrancos de fondo plano,No aplica,No aplica,Plan General,2005-03-09,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03034%20BENIJ%d3FAR/P.%20GENERAL/03034-1000%20PLAN%20GENERAL%202003%201201/,No aplica,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03034%20BENIJ%d3FAR/P.%20GENERAL/03034-1000%20PLAN%20GENERAL%202003%201201/3%20NORMAS%20URBANISTICAS/03034%201000%202003%201201%20%20NORMAS.pdf
4,Benijófar,03034A00400113,Rústica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Plan General,2005-03-09,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03034%20BENIJ%d3FAR/P.%20GENERAL/03034-1000%20PLAN%20GENERAL%202003%201201/,No aplica,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03034%20BENIJ%d3FAR/P.%20GENERAL/03034-1000%20PLAN%20GENERAL%202003%201201/3%20NORMAS%20URBANISTICAS/03034%201000%202003%201201%20%20NORMAS.pdf
5,Benijófar,03034A00400124,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad Geomorfológica: Vaguadas y barrancos de fondo plano,No aplica,No aplica,Plan General,2005-03-09,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03034%20BENIJ%d3FAR/P.%20GENERAL/03034-1000%20PLAN%20GENERAL%202003%201201/,No aplica,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03034%20BENIJ%d3FAR/P.%20GENERAL/03034-1000%20PLAN%20GENERAL%202003%201201/3%20NORMAS%20URBANISTICAS/03034%201000%202003%201201%20%20NORMAS.pdf
6,Benijófar,03034A00400124,Rústica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Plan General,2005-03-09,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03034%20BENIJ%d3FAR/P.%20GENERAL/03034-1000%20PLAN%20GENERAL%202003%201201/,No aplica,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03034%20BENIJ%d3FAR/P.%20GENERAL/03034-1000%20PLAN%20GENERAL%202003%201201/3%20NORMAS%20URBANISTICAS/03034%201000%202003%201201%20%20NORMAS.pdf
7,Benijófar,03034A00400124,Rústica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Plan General,2005-03-09,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03034%20BENIJ%d3FAR/P.%20GENERAL/03034-1000%20PLAN%20GENERAL%202003%201201/,No aplica,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Protegido,ZRP-CR,Zona rural protegida carreteras (dominio público),PCV,Dotaciones red primaria comunicaciones red viaria (dominio público),"Uso no residencial, no industrial, no terciario",AF-CR Carreteras,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03034%20BENIJ%d3FAR/P.%20GENERAL/03034-1000%20PLAN%20GENERAL%202003%201201/3%20NORMAS%20URBANISTICAS/03034%201000%202003%201201%20%20NORMAS.pdf
8,Benijófar,03034A00200030,Rústica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Plan General,2005-03-09,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03034%20BENIJ%d3FAR/P.%20GENERAL/03034-1000%20PLAN%20GENERAL%202003%201201/,No aplica,No aplica,No aplica,No aplica,No aplica,Suelo Urbanizable,ZND-TR,Zona de nuevo desarrollo terciaria,No aplica,No aplica,Terciario,No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03034%20BENIJ%d3FAR/P.%20GENERAL/03034-1000%20PLAN%20GENERAL%202003%201201/3%20NORMAS%20URBANISTICAS/03034%201000%202003%201201%20%20NORMAS.pdf
9,Benijófar,03034A00200030,Rústica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Plan General,2005-03-09,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03034%20BENIJ%d3FAR/P.%20GENERAL/03034-1000%20PLAN%20GENERAL%202003%201201/,No aplica,No aplica,No aplica,No aplica,No aplica,Suelo Urbanizable,ZND-TR,Zona de nuevo desarrollo terciaria,PV,Dotaciones red primaria zonas verdes,Terciario,No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03034%20BENIJ%d3FAR/P.%20GENERAL/03034-1000%20PLAN%20GENERAL%202003%201201/3%20NORMAS%20URBANISTICAS/03034%201000%202003%201201%20%20NORMAS.pdf
