,MUN,ID,TIPO,PATFOR,TERR FOR,PATRICOVA,NIV PELIGR,PATIVEL,TIP PROTEC,TIPO PLAN,APROB,LEGIS,FUENTE,PMD,DENOM,CAT CLASE,CAT PROTEC,CAT CATEG,CLASIF,ZONIF,ZONIF DESC,DOT,DOT DESC,USO SUELO,AFECCION,PRR,PRR DENOM,PPRO,PPRO DENOM,PNM,PNM DENOM,PQN,PQN DENOM,ZHUM,ZHUM DENOM,ZEPA,ZEPA DENOM,ZEC,ZEC DENOM,LIC,LIC DENOM,RIESGO,CT,CT TIPO,VP,VP TIPO,DIC USO,DIC DESCRI,NORM URB,AREA
0,Bigastro,03044A00300024,Rústica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Plan General,2002-02-05,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239963,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03044%20BIGASTRO/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03044%20BIGASTRO/1%20P.%20GENERAL/03044-1000%20PLAN%20GENERAL%202000%201482/3%20NORMAS%20URBANISTICAS/03044-1000%202000%201482%20NORMAS.pdf,6760.6
1,Bigastro,03044A00300025,Rústica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Plan General,2002-02-05,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239963,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03044%20BIGASTRO/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03044%20BIGASTRO/1%20P.%20GENERAL/03044-1000%20PLAN%20GENERAL%202000%201482/3%20NORMAS%20URBANISTICAS/03044-1000%202000%201482%20NORMAS.pdf,3243.8
2,Bigastro,03044A00300034,Rústica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Plan General,2002-02-05,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239963,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03044%20BIGASTRO/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03044%20BIGASTRO/1%20P.%20GENERAL/03044-1000%20PLAN%20GENERAL%202000%201482/3%20NORMAS%20URBANISTICAS/03044-1000%202000%201482%20NORMAS.pdf,991.0
3,Bigastro,03044A00300035,Rústica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Plan General,2002-02-05,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239963,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03044%20BIGASTRO/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03044%20BIGASTRO/1%20P.%20GENERAL/03044-1000%20PLAN%20GENERAL%202000%201482/3%20NORMAS%20URBANISTICAS/03044-1000%202000%201482%20NORMAS.pdf,850.7
4,Bigastro,03044A00300035,Rústica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Plan General,2002-02-05,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239963,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03044%20BIGASTRO/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,PQI-SUR,Dotaciones red primaria infraestructuras servicios urbanos,"Uso no residencial, no industrial, no terciario",No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03044%20BIGASTRO/1%20P.%20GENERAL/03044-1000%20PLAN%20GENERAL%202000%201482/3%20NORMAS%20URBANISTICAS/03044-1000%202000%201482%20NORMAS.pdf,568.8
5,Bigastro,03044A00300035,Rústica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Plan General,2002-02-05,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239963,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03044%20BIGASTRO/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo Urbano,ZUR-IN,Zona urbanizada industrial,PCV,Dotaciones red primaria comunicaciones red viaria (dominio público),Industrial,No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03044%20BIGASTRO/1%20P.%20GENERAL/03044-1000%20PLAN%20GENERAL%202000%201482/3%20NORMAS%20URBANISTICAS/03044-1000%202000%201482%20NORMAS.pdf,2.1
6,Bigastro,03044A00200049,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad Geomorfológica: Vaguadas y barrancos de fondo plano,No aplica,No aplica,Plan General,2002-02-05,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239963,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03044%20BIGASTRO/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03044%20BIGASTRO/1%20P.%20GENERAL/03044-1000%20PLAN%20GENERAL%202000%201482/3%20NORMAS%20URBANISTICAS/03044-1000%202000%201482%20NORMAS.pdf,2646.3
7,Bigastro,03044A00200049,Rústica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Plan General,2002-02-05,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239963,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03044%20BIGASTRO/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03044%20BIGASTRO/1%20P.%20GENERAL/03044-1000%20PLAN%20GENERAL%202000%201482/3%20NORMAS%20URBANISTICAS/03044-1000%202000%201482%20NORMAS.pdf,51.7
8,Bigastro,03044A00200050,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad Geomorfológica: Vaguadas y barrancos de fondo plano,No aplica,No aplica,Plan General,2002-02-05,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239963,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03044%20BIGASTRO/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03044%20BIGASTRO/1%20P.%20GENERAL/03044-1000%20PLAN%20GENERAL%202000%201482/3%20NORMAS%20URBANISTICAS/03044-1000%202000%201482%20NORMAS.pdf,2329.6
9,Bigastro,03044A00200050,Rústica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Plan General,2002-02-05,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239963,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03044%20BIGASTRO/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03044%20BIGASTRO/1%20P.%20GENERAL/03044-1000%20PLAN%20GENERAL%202000%201482/3%20NORMAS%20URBANISTICAS/03044-1000%202000%201482%20NORMAS.pdf,353.3
