,MUN,ID,TIPO,PATFOR,TERR FOR,PATRICOVA,NIV PELIGR,PATIVEL,TIP PROTEC,TIPO PLAN,APROB,LEGIS,FUENTE,PMD,DENOM,CAT CLASE,CAT PROTEC,CAT CATEG,CLASIF,ZONIF,ZONIF DESC,DOT,DOT DESC,USO SUELO,AFECCION,PRR,PRR DENOM,PPRO,PPRO DENOM,PNM,PNM DENOM,PQN,PQN DENOM,ZHUM,ZHUM DENOM,ZEPA,ZEPA DENOM,ZEC,ZEC DENOM,LIC,LIC DENOM,RIESGO,CT,CT TIPO,VP,VP TIPO,DIC USO,DIC DESCRI,NORM URB
0,Formentera del Segura,0023025YH9155N,Diseminado,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 2. Frecuencia media (100 años) y calado alto (>0.8 m),No aplica,No aplica,Plan General,2009-09-29,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03070%20FORMENTERA%20DEL%20SEGURA/1%20P.%20GENERAL/03070-1000%20PLAN%20GENERAL%202006%200737/,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03070%20FORMENTERA%20DEL%20SEGURA/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo Urbano,ZUR-RE,Zona urbanizada residencial,No aplica,No aplica,Residencial,No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03070%20FORMENTERA%20DEL%20SEGURA/1%20P.%20GENERAL/03070-1000%20PLAN%20GENERAL%202006%200737/3%20NORMAS%20URBANISTICAS/03070-1000%202006%200737%20NORMAS%20URBANISTICAS.pdf
1,Formentera del Segura,0023023YH9155N,Diseminado,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 2. Frecuencia media (100 años) y calado alto (>0.8 m),No aplica,No aplica,Plan General,2009-09-29,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03070%20FORMENTERA%20DEL%20SEGURA/1%20P.%20GENERAL/03070-1000%20PLAN%20GENERAL%202006%200737/,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03070%20FORMENTERA%20DEL%20SEGURA/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo Urbano,ZUR-RE,Zona urbanizada residencial,No aplica,No aplica,Residencial,No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03070%20FORMENTERA%20DEL%20SEGURA/1%20P.%20GENERAL/03070-1000%20PLAN%20GENERAL%202006%200737/3%20NORMAS%20URBANISTICAS/03070-1000%202006%200737%20NORMAS%20URBANISTICAS.pdf
2,Formentera del Segura,0023022XH9155N,Diseminado,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 2. Frecuencia media (100 años) y calado alto (>0.8 m),No aplica,No aplica,Plan General,2009-09-29,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03070%20FORMENTERA%20DEL%20SEGURA/1%20P.%20GENERAL/03070-1000%20PLAN%20GENERAL%202006%200737/,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03070%20FORMENTERA%20DEL%20SEGURA/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo Urbano,ZUR-RE,Zona urbanizada residencial,No aplica,No aplica,Residencial,No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03070%20FORMENTERA%20DEL%20SEGURA/1%20P.%20GENERAL/03070-1000%20PLAN%20GENERAL%202006%200737/3%20NORMAS%20URBANISTICAS/03070-1000%202006%200737%20NORMAS%20URBANISTICAS.pdf
3,Formentera del Segura,0023021YH9155N,Diseminado,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 2. Frecuencia media (100 años) y calado alto (>0.8 m),No aplica,No aplica,Plan General,2009-09-29,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03070%20FORMENTERA%20DEL%20SEGURA/1%20P.%20GENERAL/03070-1000%20PLAN%20GENERAL%202006%200737/,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03070%20FORMENTERA%20DEL%20SEGURA/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo Urbano,ZUR-RE,Zona urbanizada residencial,No aplica,No aplica,Residencial,No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03070%20FORMENTERA%20DEL%20SEGURA/1%20P.%20GENERAL/03070-1000%20PLAN%20GENERAL%202006%200737/3%20NORMAS%20URBANISTICAS/03070-1000%202006%200737%20NORMAS%20URBANISTICAS.pdf
4,Formentera del Segura,0023024YH9155N,Diseminado,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 2. Frecuencia media (100 años) y calado alto (>0.8 m),No aplica,No aplica,Plan General,2009-09-29,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03070%20FORMENTERA%20DEL%20SEGURA/1%20P.%20GENERAL/03070-1000%20PLAN%20GENERAL%202006%200737/,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03070%20FORMENTERA%20DEL%20SEGURA/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo Urbano,ZUR-RE,Zona urbanizada residencial,No aplica,No aplica,Residencial,No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03070%20FORMENTERA%20DEL%20SEGURA/1%20P.%20GENERAL/03070-1000%20PLAN%20GENERAL%202006%200737/3%20NORMAS%20URBANISTICAS/03070-1000%202006%200737%20NORMAS%20URBANISTICAS.pdf
5,Formentera del Segura,002001100XH91H,Diseminado,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 2. Frecuencia media (100 años) y calado alto (>0.8 m),No aplica,No aplica,Plan General,2009-09-29,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03070%20FORMENTERA%20DEL%20SEGURA/1%20P.%20GENERAL/03070-1000%20PLAN%20GENERAL%202006%200737/,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03070%20FORMENTERA%20DEL%20SEGURA/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo Urbano,ZUR-RE,Zona urbanizada residencial,No aplica,No aplica,Residencial,No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03070%20FORMENTERA%20DEL%20SEGURA/1%20P.%20GENERAL/03070-1000%20PLAN%20GENERAL%202006%200737/3%20NORMAS%20URBANISTICAS/03070-1000%202006%200737%20NORMAS%20URBANISTICAS.pdf
6,Formentera del Segura,0023026YH9155N,Diseminado,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 2. Frecuencia media (100 años) y calado alto (>0.8 m),No aplica,No aplica,Plan General,2009-09-29,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03070%20FORMENTERA%20DEL%20SEGURA/1%20P.%20GENERAL/03070-1000%20PLAN%20GENERAL%202006%200737/,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03070%20FORMENTERA%20DEL%20SEGURA/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo Urbano,ZUR-RE,Zona urbanizada residencial,No aplica,No aplica,Residencial,No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03070%20FORMENTERA%20DEL%20SEGURA/1%20P.%20GENERAL/03070-1000%20PLAN%20GENERAL%202006%200737/3%20NORMAS%20URBANISTICAS/03070-1000%202006%200737%20NORMAS%20URBANISTICAS.pdf
7,Formentera del Segura,03070A00200192,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 2. Frecuencia media (100 años) y calado alto (>0.8 m),No aplica,No aplica,Plan General,2009-09-29,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03070%20FORMENTERA%20DEL%20SEGURA/1%20P.%20GENERAL/03070-1000%20PLAN%20GENERAL%202006%200737/,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03070%20FORMENTERA%20DEL%20SEGURA/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03070%20FORMENTERA%20DEL%20SEGURA/1%20P.%20GENERAL/03070-1000%20PLAN%20GENERAL%202006%200737/3%20NORMAS%20URBANISTICAS/03070-1000%202006%200737%20NORMAS%20URBANISTICAS.pdf
8,Formentera del Segura,03070A00100072,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 2. Frecuencia media (100 años) y calado alto (>0.8 m),No aplica,No aplica,Plan General,2009-09-29,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03070%20FORMENTERA%20DEL%20SEGURA/1%20P.%20GENERAL/03070-1000%20PLAN%20GENERAL%202006%200737/,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03070%20FORMENTERA%20DEL%20SEGURA/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo Urbanizable,ZND-RE,Zona de nuevo desarrollo residencial,No aplica,No aplica,Residencial,No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03070%20FORMENTERA%20DEL%20SEGURA/1%20P.%20GENERAL/03070-1000%20PLAN%20GENERAL%202006%200737/3%20NORMAS%20URBANISTICAS/03070-1000%202006%200737%20NORMAS%20URBANISTICAS.pdf
9,Formentera del Segura,03070A00200225,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 2. Frecuencia media (100 años) y calado alto (>0.8 m),No aplica,No aplica,Plan General,2009-09-29,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03070%20FORMENTERA%20DEL%20SEGURA/1%20P.%20GENERAL/03070-1000%20PLAN%20GENERAL%202006%200737/,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03070%20FORMENTERA%20DEL%20SEGURA/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03070%20FORMENTERA%20DEL%20SEGURA/1%20P.%20GENERAL/03070-1000%20PLAN%20GENERAL%202006%200737/3%20NORMAS%20URBANISTICAS/03070-1000%202006%200737%20NORMAS%20URBANISTICAS.pdf
