,MUN,ID,TIPO,PATFOR,TERR FOR,PATRICOVA,NIV PELIGR,PATIVEL,TIP PROTEC,TIPO PLAN,APROB,LEGIS,FUENTE,PMD,DENOM,CAT CLASE,CAT PROTEC,CAT CATEG,CLASIF,ZONIF,ZONIF DESC,DOT,DOT DESC,USO SUELO,AFECCION,PRR,PRR DENOM,PPRO,PPRO DENOM,PNM,PNM DENOM,PQN,PQN DENOM,ZHUM,ZHUM DENOM,ZEPA,ZEPA DENOM,ZEC,ZEC DENOM,LIC,LIC DENOM,RIESGO,CT,CT TIPO,VP,VP TIPO,DIC USO,DIC DESCRI,NORM URB
0,Granja de Rocamora,03074A00100008,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 6. Frecuencia baja (500 años) y calado bajo (<0.8 m),No aplica,No aplica,Plan General,1997-04-21,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239971,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03074%20GRANJA%20DE%20ROCAMORA/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03074%20GRANJA%20DE%20ROCAMORA/1%20P.%20GENERAL/03074-1000%20PLAN%20GENERAL%201996%200139/3%20NORMAS%20URBANISTICAS/03074-10001996%200139%20NORMAS%20URBANISTICAS.pdf
1,Granja de Rocamora,03074A00100009,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 6. Frecuencia baja (500 años) y calado bajo (<0.8 m),No aplica,No aplica,Plan General,1997-04-21,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239971,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03074%20GRANJA%20DE%20ROCAMORA/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03074%20GRANJA%20DE%20ROCAMORA/1%20P.%20GENERAL/03074-1000%20PLAN%20GENERAL%201996%200139/3%20NORMAS%20URBANISTICAS/03074-10001996%200139%20NORMAS%20URBANISTICAS.pdf
2,Granja de Rocamora,03074A00100010,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 6. Frecuencia baja (500 años) y calado bajo (<0.8 m),No aplica,No aplica,Plan General,1997-04-21,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239971,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03074%20GRANJA%20DE%20ROCAMORA/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03074%20GRANJA%20DE%20ROCAMORA/1%20P.%20GENERAL/03074-1000%20PLAN%20GENERAL%201996%200139/3%20NORMAS%20URBANISTICAS/03074-10001996%200139%20NORMAS%20URBANISTICAS.pdf
3,Granja de Rocamora,03074A00100011,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 6. Frecuencia baja (500 años) y calado bajo (<0.8 m),No aplica,No aplica,Plan General,1997-04-21,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239971,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03074%20GRANJA%20DE%20ROCAMORA/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03074%20GRANJA%20DE%20ROCAMORA/1%20P.%20GENERAL/03074-1000%20PLAN%20GENERAL%201996%200139/3%20NORMAS%20URBANISTICAS/03074-10001996%200139%20NORMAS%20URBANISTICAS.pdf
4,Granja de Rocamora,03074A00100011,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad Geomorfológica: Vaguadas y barrancos de fondo plano,No aplica,No aplica,Plan General,1997-04-21,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239971,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03074%20GRANJA%20DE%20ROCAMORA/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03074%20GRANJA%20DE%20ROCAMORA/1%20P.%20GENERAL/03074-1000%20PLAN%20GENERAL%201996%200139/3%20NORMAS%20URBANISTICAS/03074-10001996%200139%20NORMAS%20URBANISTICAS.pdf
5,Granja de Rocamora,03074A00100011,Rústica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Plan General,1997-04-21,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239971,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03074%20GRANJA%20DE%20ROCAMORA/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03074%20GRANJA%20DE%20ROCAMORA/1%20P.%20GENERAL/03074-1000%20PLAN%20GENERAL%201996%200139/3%20NORMAS%20URBANISTICAS/03074-10001996%200139%20NORMAS%20URBANISTICAS.pdf
6,Granja de Rocamora,03074A00100012,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 6. Frecuencia baja (500 años) y calado bajo (<0.8 m),No aplica,No aplica,Plan General,1997-04-21,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239971,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03074%20GRANJA%20DE%20ROCAMORA/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03074%20GRANJA%20DE%20ROCAMORA/1%20P.%20GENERAL/03074-1000%20PLAN%20GENERAL%201996%200139/3%20NORMAS%20URBANISTICAS/03074-10001996%200139%20NORMAS%20URBANISTICAS.pdf
7,Granja de Rocamora,03074A00100013,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 6. Frecuencia baja (500 años) y calado bajo (<0.8 m),No aplica,No aplica,Plan General,1997-04-21,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239971,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03074%20GRANJA%20DE%20ROCAMORA/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03074%20GRANJA%20DE%20ROCAMORA/1%20P.%20GENERAL/03074-1000%20PLAN%20GENERAL%201996%200139/3%20NORMAS%20URBANISTICAS/03074-10001996%200139%20NORMAS%20URBANISTICAS.pdf
8,Granja de Rocamora,03074A00100014,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 6. Frecuencia baja (500 años) y calado bajo (<0.8 m),No aplica,No aplica,Plan General,1997-04-21,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239971,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03074%20GRANJA%20DE%20ROCAMORA/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03074%20GRANJA%20DE%20ROCAMORA/1%20P.%20GENERAL/03074-1000%20PLAN%20GENERAL%201996%200139/3%20NORMAS%20URBANISTICAS/03074-10001996%200139%20NORMAS%20URBANISTICAS.pdf
9,Granja de Rocamora,03074A00100015,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 6. Frecuencia baja (500 años) y calado bajo (<0.8 m),No aplica,No aplica,Plan General,1997-04-21,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239971,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03074%20GRANJA%20DE%20ROCAMORA/2%20P.%20DIFERIDO/,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03074%20GRANJA%20DE%20ROCAMORA/1%20P.%20GENERAL/03074-1000%20PLAN%20GENERAL%201996%200139/3%20NORMAS%20URBANISTICAS/03074-10001996%200139%20NORMAS%20URBANISTICAS.pdf
