,MUN,ID,TIPO,PATFOR,TERR FOR,PATRICOVA,NIV PELIGR,PATIVEL,TIP PROTEC,TIPO PLAN,APROB,LEGIS,FUENTE,PMD,DENOM,CAT CLASE,CAT PROTEC,CAT CATEG,CLASIF,ZONIF,ZONIF DESC,DOT,DOT DESC,USO SUELO,AFECCION,PRR,PRR DENOM,PPRO,PPRO DENOM,PNM,PNM DENOM,PQN,PQN DENOM,ZHUM,ZHUM DENOM,ZEPA,ZEPA DENOM,ZEC,ZEC DENOM,LIC,LIC DENOM,RIESGO,CT,CT TIPO,VP,VP TIPO,DIC USO,DIC DESCRI,NORM URB
0,Jacarilla,03080A00300002,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad Geomorfológica: Vaguadas y barrancos de fondo plano,No aplica,No aplica,Plan General,2005-04-12,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239973,Sin Planeamiento Municipal de Desarrollo,No aplica,No aplica,No aplica,No aplica,Suelo Urbanizable,ZND-RE,Zona de nuevo desarrollo residencial,No aplica,No aplica,Residencial,No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03080%20JACARILLA/P.%20GENERAL/03080-1000%20PLAN%20GENERAL%202003%200667/3%20NORMAS%20URBANISTICAS/03080-1000%202003%200667%20NORMAS.pdf
1,Jacarilla,03080A00300002,Rústica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Plan General,2005-04-12,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239973,Sin Planeamiento Municipal de Desarrollo,No aplica,No aplica,No aplica,No aplica,Suelo Urbanizable,ZND-RE,Zona de nuevo desarrollo residencial,No aplica,No aplica,Residencial,No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03080%20JACARILLA/P.%20GENERAL/03080-1000%20PLAN%20GENERAL%202003%200667/3%20NORMAS%20URBANISTICAS/03080-1000%202003%200667%20NORMAS.pdf
2,Jacarilla,03080A00700005,Rústica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Plan General,2005-04-12,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239973,Sin Planeamiento Municipal de Desarrollo,No aplica,No aplica,No aplica,No aplica,Suelo Urbanizable,ZND-RE,Zona de nuevo desarrollo residencial,No aplica,No aplica,Residencial,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03080%20JACARILLA/P.%20GENERAL/03080-1000%20PLAN%20GENERAL%202003%200667/3%20NORMAS%20URBANISTICAS/03080-1000%202003%200667%20NORMAS.pdf
3,Jacarilla,03080A00700007,Rústica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Plan General,2005-04-12,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239973,Sin Planeamiento Municipal de Desarrollo,No aplica,No aplica,No aplica,No aplica,Suelo Urbanizable,ZND-RE,Zona de nuevo desarrollo residencial,No aplica,No aplica,Residencial,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03080%20JACARILLA/P.%20GENERAL/03080-1000%20PLAN%20GENERAL%202003%200667/3%20NORMAS%20URBANISTICAS/03080-1000%202003%200667%20NORMAS.pdf
4,Jacarilla,03080A00700009,Rústica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Plan General,2005-04-12,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239973,Sin Planeamiento Municipal de Desarrollo,No aplica,No aplica,No aplica,No aplica,Suelo Urbanizable,ZND-RE,Zona de nuevo desarrollo residencial,No aplica,No aplica,Residencial,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03080%20JACARILLA/P.%20GENERAL/03080-1000%20PLAN%20GENERAL%202003%200667/3%20NORMAS%20URBANISTICAS/03080-1000%202003%200667%20NORMAS.pdf
5,Jacarilla,03080A00700020,Rústica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Plan General,2005-04-12,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239973,Sin Planeamiento Municipal de Desarrollo,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Común,ZRC-FO,Zona rural común forestal,No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03080%20JACARILLA/P.%20GENERAL/03080-1000%20PLAN%20GENERAL%202003%200667/3%20NORMAS%20URBANISTICAS/03080-1000%202003%200667%20NORMAS.pdf
6,Jacarilla,03080A00700020,Rústica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Plan General,2005-04-12,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239973,Sin Planeamiento Municipal de Desarrollo,No aplica,No aplica,No aplica,No aplica,Suelo Urbanizable,ZND-RE,Zona de nuevo desarrollo residencial,No aplica,No aplica,Residencial,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03080%20JACARILLA/P.%20GENERAL/03080-1000%20PLAN%20GENERAL%202003%200667/3%20NORMAS%20URBANISTICAS/03080-1000%202003%200667%20NORMAS.pdf
7,Jacarilla,03080A00200037,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 2. Frecuencia media (100 años) y calado alto (>0.8 m),No aplica,No aplica,Plan General,2005-04-12,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239973,Sin Planeamiento Municipal de Desarrollo,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Protegido,ZRP-NA-MU,"Zona rural protegida municipal (forestal, paisajística, medioambiental)",No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,Corredores territoriales,FLUVIAL,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03080%20JACARILLA/P.%20GENERAL/03080-1000%20PLAN%20GENERAL%202003%200667/3%20NORMAS%20URBANISTICAS/03080-1000%202003%200667%20NORMAS.pdf
8,Jacarilla,03080A00200038,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 2. Frecuencia media (100 años) y calado alto (>0.8 m),No aplica,No aplica,Plan General,2005-04-12,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239973,Sin Planeamiento Municipal de Desarrollo,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Protegido,ZRP-NA-MU,"Zona rural protegida municipal (forestal, paisajística, medioambiental)",No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,Corredores territoriales,FLUVIAL,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03080%20JACARILLA/P.%20GENERAL/03080-1000%20PLAN%20GENERAL%202003%200667/3%20NORMAS%20URBANISTICAS/03080-1000%202003%200667%20NORMAS.pdf
9,Jacarilla,03080A00200039,Rústica,No aplica,No aplica,PATRICOVA. Plan de Acción Territorial de carácter sectorial sobre prevención del Riesgo de Inundación en la Comunitat Valenciana,Peligrosidad 2. Frecuencia media (100 años) y calado alto (>0.8 m),No aplica,No aplica,Plan General,2005-04-12,Ley Reguladora de la Actividad Urbanística,https://mediambient.gva.es/documents/20551182/161611458/Planes+Generales+en+vigor+MARZO+2023.xls/b0c4acab-954f-3a65-6a81-30f2fb618509?t=1681198239973,Sin Planeamiento Municipal de Desarrollo,No aplica,No aplica,No aplica,No aplica,Suelo No Urbanizable Protegido,ZRP-NA-MU,"Zona rural protegida municipal (forestal, paisajística, medioambiental)",No aplica,No aplica,"Uso no residencial, no industrial, no terciario",No aplica,Paisajes de Relevancia Regional,Huerta de la Vega Baja del Segura,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Inundación,Corredores territoriales,FLUVIAL,No aplica,No aplica,No aplica,No aplica,https://mediambient.gva.es/auto/urbanismo/reg-planeamiento/2%20ALICANTE/03080%20JACARILLA/P.%20GENERAL/03080-1000%20PLAN%20GENERAL%202003%200667/3%20NORMAS%20URBANISTICAS/03080-1000%202003%200667%20NORMAS.pdf
