,fid,id,Planeamien,PATRICOVA.,PATRICOV_1,Planeami_1,PATFOR. De,Planeami_2,Plan Gener,Catálogo,Catálogo.,Catálog_1,Clasificac,Zonificaci,Dotaciones,Afecciones,Afeccion_1,Infraestru,Red Natura,Infraest_1,Vías pecu,DIC_TIPO,DIC_TIPO_2,DIC_DES,DIC_DES_2,Normativa,Normativ_1,Normativ_2
0,1,0,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SU. Suelo Urbano,ZUR-RE. Zona urbanizada residencial,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo Urbano Residencial,"Condiciones de edificabilidad para suelo urbano residencial
· Chaflanes: 3 metros (Art. 41)
· Parcela mínima: 80 m² y mínimo 4,5 mts ó fachada mínima de 6 mts (Art. 42)
· Fondo edificable máximo: 25 mts (Art. 43)
· Voladizos: se podrá volar",No Aplica
8,9,1,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SU. Suelo Urbano,No Aplica,"PV. Zonas verdes, jardines- Primaria",No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo Urbano Residencial,"Condiciones de edificabilidad para suelo urbano residencial
· Chaflanes: 3 metros (Art. 41)
· Parcela mínima: 80 m² y mínimo 4,5 mts ó fachada mínima de 6 mts (Art. 42)
· Fondo edificable máximo: 25 mts (Art. 43)
· Voladizos: se podrá volar",No Aplica
9,10,2,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SU. Suelo Urbano,No Aplica,"PV. Zonas verdes, jardines- Primaria",No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo Urbano Residencial,"Condiciones de edificabilidad para suelo urbano residencial
· Chaflanes: 3 metros (Art. 41)
· Parcela mínima: 80 m² y mínimo 4,5 mts ó fachada mínima de 6 mts (Art. 42)
· Fondo edificable máximo: 25 mts (Art. 43)
· Voladizos: se podrá volar",No Aplica
10,11,3,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SU. Suelo Urbano,No Aplica,"PV. Zonas verdes, jardines- Primaria",No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo Urbano Residencial,"Condiciones de edificabilidad para suelo urbano residencial
· Chaflanes: 3 metros (Art. 41)
· Parcela mínima: 80 m² y mínimo 4,5 mts ó fachada mínima de 6 mts (Art. 42)
· Fondo edificable máximo: 25 mts (Art. 43)
· Voladizos: se podrá volar",No Aplica
11,12,0001002YH9200N,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-C. Suelo No Urbano Común,ZRC-FO. Zona rural común forestal,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Común,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
12,13,0002001YH9200N,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,ZRP-CR. Zona rural protegida carreteras (dominio público),No Aplica,Aplica,AF-CR. Carreteras,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
13,14,0004014YH9200N,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-C. Suelo No Urbano Común,ZRC-FO. Zona rural común forestal,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Común,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
14,15,000601800XH92C,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-C. Suelo No Urbano Común,ZRC-FO. Zona rural común forestal,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Común,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
15,16,0007002YH9255S,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,"ZRP-NA-MU. Zona rural protegida municipal (forestal, paisajística o ambiental)",No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Agrícola,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
16,17,000800100XH92E,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-C. Suelo No Urbano Común,ZRC-FO. Zona rural común forestal,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Común,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
